Name,Material,Sales Contact,Contact Number,Email,Address,City,State,Latitude,Longitude,pin_color,Location_type,notes,service
"Mid Ohio Valley Lime, Inc.",Hydrate Lime,,888-837-6685,,14949 St Rte 7,Marietta,OH,39.392139,-81.404578,#F54927,Plant,,Pneumatic Trucking
Smith Trucking,,,,,,,,39.7837304,-100.445882,#F54928,,,Pneumatic Trucking
RRR,,,800-472-4714,,1195 Mauldin Rd,Calhoun ,GA ,34.5311893,-84.9437098,#F54929,,,Pneumatic Trucking
NAJ Trucking--never call competitive,,,,,,,,39.7837304,-100.445882,#F54930,,,Pneumatic Trucking
UST Transport,,Chuck Johnson,702-355-5323,chuck.johnson@us-transport.com,,,AZ,40.3936294,47.7872508,#F54931,,,Pneumatic Trucking
Apex Logistics LLC,,Joshua Vermillion,702-701-3643,josh.vermillion@apexlogisticsllc.com,9201 N 7th Street,Phoenix,AZ,33.569724,-112.065114,#F54932,,,Pneumatic Trucking
CTI Dry Bulk Hauling,,,317-783-0700,,121 Premier Drive,Belleville,IL,38.5020719,-89.9442369,#F54933,,,Pneumatic Trucking
Superior Bulk,,Jeremy Jondahl,602-828-3257,,,,AZ,40.3936294,47.7872508,#F54934,,,Pneumatic Trucking
Main Office,,,,,3105 N Maples St.,Mesa,AZ,33.32865,-111.583739,#F54935,,,Pneumatic Trucking
Glendale Yard,,,,,6500 N Agua Fria Shore,Glendale,AZ,33.530154,-112.307063,#F54936,,,Pneumatic Trucking
Kingman Yard,,,,,2301 Shinarump Dr.,Kingman,AZ,35.156397,-114.140841,#F54937,,,Pneumatic Trucking
Sloan Yard,,,,,Water Well Drill Rd.,Sloan,NV,35.9315427,-115.2044935,#F54938,,,Pneumatic Trucking
Tucson Yard,,,,,5400 W Massingale Rd.,Tucson,AZ,32.344991,-111.07831,#F54939,,,Pneumatic Trucking
Dry Run Trucking,,Kris Pietsch,602-388-3675,,6741 W Rock Solid Way,Chandler,AZ,33.297731,-111.758075,#F54940,,,Pneumatic Trucking
J&E,,Jerry,505-304-7179,,165 Escondido St.,Hatch,NM,32.671807,-107.155473,#F54941,,,Pneumatic Trucking
K Trucking,,James,928-243-1042,,,,East AZ/NM,33.3492243,-104.4379752,#F54942,,,Pneumatic Trucking
Trinity Logistics,,Bailie Paulus,763-276-4306,bpaulus@trinitylogisticsmn.com,,,All US,40.8077797,-84.0572225,#F54943,,Office: 612-314-2433,Pneumatic Trucking
Corporate Office,,,800-846-3400,,50 Fallon Avenue,Seaford,DE,38.6578568,-75.5992025,#F54944,,,Pneumatic Trucking
Scottsdale,,,855-830-6827,,8655 E Via De Ventura Suite E-250,Scottsdale,AZ,33.554003,-111.896175,#F54945,,,Pneumatic Trucking
Orlando,,,407-852-7299,,5422 Carrier Dr. Suite 304,Orlando ,FL,28.4572838,-81.4527067,#F54946,,,Pneumatic Trucking
Urbandale,,,515-207-1401,,4320 114th St. ,Urbandale,IA,41.6387943,-93.7752216,#F54947,,,Pneumatic Trucking
Kansas City,,,800-210-3000,,7200 NW 86th Street Suite N,Kansas City,MO,39.2504873,-94.6661179,#F54948,,,Pneumatic Trucking
Fort Worth,,,877-346-4455,,14800 Trinity Blvd. Suite 110,Fort Worth,TX,32.82077,-97.0457888,#F54949,,,Pneumatic Trucking
TKM Materials,,Terry,931-260-0008,terry@TKMMaterials.com,1806 N Court Street,Marion,IL,37.7466424,-88.9327335,#F54950,,,Pneumatic Trucking
Venezia Bulk Transport Inc.,,,610-587-1005,apual@veneziainc.com,,,TN/Carolinas,48.7604746,-122.4512209,#F54951,,,Pneumatic Trucking
Keene Carriers,,,276-880-1206,,13950 US HWY 19,Rosedale,VA,36.9779347,-81.8725704,#F54952,,,Pneumatic Trucking
Taylor Transport Inc.,,,770-387-7500,contact@taylortruck.net,1708 GA-113 ,Cartersville,GA,34.1369063,-84.8450233,#F54953,,,Pneumatic Trucking
Parker Nall Perdido Trucking Service,,,251-508-3779,pnall@perdidotrucking.com,56 Midtown Park West,Mobile,AL/Gulf,35.56043,-79.28169,#F54954,,,Pneumatic Trucking
Evergreen Transport,,JR Dykes,205-936-0359,,"41 West I-65 Service Rd. North, Suite 300",Mobile,AL/Gulf,30.69436,-88.04305,#F54955,,,Pneumatic Trucking
Johnston Trucking LLC,,Luke,334-735-2283,luke@johnstontrucking.com,US 231 Business,Brundidge,AL/Gulf,35.56043,-79.28169,#F54956,,,Pneumatic Trucking
Rodgers Cartage Co.,,,205-621-9098,,176 Longview Cir,Calera,AL/Gulf,35.56043,-79.28169,#F54957,,Primary Line: 1-800-507-8848,Pneumatic Trucking
Get Up & Go Pronto Transportation--call to confirm information,,,205-600-4077,,1720 Hurricane Rd Lot 18,Cottondale,AL/Gulf,35.56043,-79.28169,#F54958,,,Pneumatic Trucking
Triple K Trucking--call to confirm information,,,205-202-9403,,,,AL/Gulf,31.3564331,-85.3276842,#F54959,,,Pneumatic Trucking
MLC Trucking,,,,,,,,39.7837304,-100.445882,#F54960,,,Pneumatic Trucking
Ste. Genevieve,,,,,16136 Highway 61,Ste. Genevieve ,MO,37.979526,-90.075731,#F54961,,,Pneumatic Trucking
Vicksburg,,,,,1543 Haining Rd.,Vicksburg,MS,32.3916788,-90.8892064,#F54962,,,Pneumatic Trucking
Verona,,,,,525 Hance Rd.,Verona,KY,38.829698,-84.758687,#F54963,,,Pneumatic Trucking
Weirton,,,,,3001 Birch Dr,Weirton,WV,40.387193,-80.618053,#F54964,,,Pneumatic Trucking
Chester,,,,,1544 Beltline Rd.,Chester,SC,34.7097104,-81.1343334,#F54965,,,Pneumatic Trucking
Journey LTD,,,,,,,,39.7837304,-100.445882,#F54966,,,Pneumatic Trucking
Tatum's Hauling,,,804-561-6563,tatumshauling1984@gmail.com,21520 Patrick Henry Highway,Jetersville,VA,37.2893301,-78.1050068,#F54967,,,Pneumatic Trucking
Summit Trucking,,,214-631-3080,,1358 Medical District Drive,Dallas,TX,32.8039923,-96.8405028,#F54968,,,Pneumatic Trucking
Bob's Moraine Trucking,,,937-746-8420,orders@bmtinc.us,8231 Claude Thomas Road,Franklin,OH,39.5633495,-84.2726533,#F54969,,Delivers within 250 mile radius of Franklin Ohio,Pneumatic Trucking
Klink Trucking,,,260-587-9113,klink@klinktrucking.com,3320 W 800 S,Ashley,IN,41.527165,-85.041701,#F54970,,,Pneumatic Trucking
Able Bulk Carriers,,Adam Fratianne,440-413-8674,adam@ablebulkcarriers.com,925 Callendar Blvd.,Painesville,OH,41.7252141,-81.2839797,#F54971,,,Pneumatic Trucking
Tully Transport,,,606-564-3129,,8027 KY Highway 3161 Rd.,Maysville,OH,41.079502,-84.037882,#F54972,,,Pneumatic Trucking
Mid Ohio Valley Lime,,,740-373-2481,,14949 State Route 7,Marietta,OH,39.392139,-81.404578,#F54973,,,Pneumatic Trucking
SCH Services-call to verify contact info,,,800-547-9918,info@sch-ces.com,1650 Murfreesboro Rd.,Franklin,TN,35.9031989,-86.792546,#F54974,,,Pneumatic Trucking
